id,texto,idioma,sinonimos
130,dormitorios,es,[]
131,banos,es,[]
132,malvin,es,"[""malvin""]"
133,frente,es,"[""facing"", ""front""]"
134,mar,es,[]
135,constituyente,es,[]
136,patio,es,[]
128,apartamento,es,"[""apto"", ""depto""]"
129,garaje,es,"[""garage"", ""cochera"", ""estacionamiento""]"
