id,nombre,descripcion,url,created_at,updated_at
5,MercadoLibre,Portal inmobiliario de MercadoLibre Uruguay,https://inmuebles.mercadolibre.com.uy,2025-09-18 12:55:37.941663+00:00,2025-09-18 12:55:37.941663+00:00
6,InfoCasas,Portal inmobiliario InfoCasas Uruguay,https://www.infocasas.com.uy,2025-09-18 12:55:37.954021+00:00,2025-09-18 12:55:37.954021+00:00
