id,encontrada,created_at,updated_at,palabra_clave_id,propiedad_id
524,False,2025-09-16 10:38:35.223802+00:00,2025-09-16 10:38:35.223802+00:00,103,345
525,True,2025-09-16 10:38:36.497703+00:00,2025-09-16 10:38:36.497703+00:00,103,346
526,True,2025-09-16 10:38:38.046593+00:00,2025-09-16 10:38:38.046593+00:00,103,347
527,True,2025-09-16 11:03:28.219927+00:00,2025-09-16 11:03:28.219927+00:00,104,348
528,True,2025-09-16 11:03:28.219927+00:00,2025-09-16 11:03:28.219927+00:00,105,348
529,True,2025-09-16 11:03:28.235521+00:00,2025-09-16 11:03:28.235521+00:00,107,348
530,False,2025-09-16 11:03:28.251142+00:00,2025-09-16 11:03:28.251142+00:00,106,348
531,True,2025-09-16 11:03:29.292443+00:00,2025-09-16 11:03:29.292443+00:00,104,349
532,True,2025-09-16 11:03:29.292443+00:00,2025-09-16 11:03:29.292443+00:00,105,349
533,True,2025-09-16 11:03:29.292443+00:00,2025-09-16 11:03:29.292443+00:00,107,349
534,False,2025-09-16 11:03:29.316948+00:00,2025-09-16 11:03:29.316948+00:00,106,349
535,True,2025-09-16 11:03:30.257976+00:00,2025-09-16 11:03:30.257976+00:00,104,350
536,True,2025-09-16 11:03:30.257976+00:00,2025-09-16 11:03:30.257976+00:00,105,350
537,True,2025-09-16 11:03:30.273617+00:00,2025-09-16 11:03:30.273617+00:00,107,350
538,True,2025-09-16 11:03:30.273617+00:00,2025-09-16 11:03:30.273617+00:00,106,350
539,True,2025-09-16 11:03:31.423301+00:00,2025-09-16 11:03:31.423301+00:00,104,351
540,True,2025-09-16 11:03:31.423301+00:00,2025-09-16 11:03:31.423301+00:00,105,351
541,True,2025-09-16 11:03:31.438940+00:00,2025-09-16 11:03:31.438940+00:00,107,351
542,True,2025-09-16 11:03:31.438940+00:00,2025-09-16 11:03:31.438940+00:00,106,351
543,True,2025-09-16 11:03:32.725466+00:00,2025-09-16 11:03:32.725466+00:00,104,352
544,True,2025-09-16 11:03:32.725466+00:00,2025-09-16 11:03:32.725466+00:00,105,352
545,True,2025-09-16 11:03:32.741098+00:00,2025-09-16 11:03:32.741098+00:00,107,352
546,False,2025-09-16 11:03:32.756720+00:00,2025-09-16 11:03:32.756720+00:00,106,352
547,True,2025-09-16 11:03:33.694973+00:00,2025-09-16 11:03:33.694973+00:00,104,353
548,True,2025-09-16 11:03:33.694973+00:00,2025-09-16 11:03:33.694973+00:00,105,353
549,True,2025-09-16 11:03:33.694973+00:00,2025-09-16 11:03:33.694973+00:00,107,353
550,True,2025-09-16 11:03:33.716936+00:00,2025-09-16 11:03:33.716936+00:00,106,353
551,True,2025-09-16 11:03:35.529905+00:00,2025-09-16 11:03:35.529905+00:00,104,354
552,True,2025-09-16 11:03:35.542898+00:00,2025-09-16 11:03:35.542898+00:00,105,354
553,True,2025-09-16 11:03:35.554907+00:00,2025-09-16 11:03:35.554907+00:00,107,354
554,False,2025-09-16 11:03:35.567898+00:00,2025-09-16 11:03:35.567898+00:00,106,354
555,True,2025-09-16 16:04:38.016849+00:00,2025-09-16 16:04:38.016849+00:00,105,355
556,True,2025-09-16 16:04:38.024743+00:00,2025-09-16 16:04:38.024743+00:00,107,355
557,False,2025-09-16 16:04:38.032573+00:00,2025-09-16 16:04:38.032573+00:00,104,355
558,True,2025-09-16 16:04:39.180730+00:00,2025-09-16 16:04:39.180730+00:00,105,356
559,True,2025-09-16 16:04:39.189730+00:00,2025-09-16 16:04:39.190729+00:00,107,356
560,True,2025-09-16 16:04:39.197503+00:00,2025-09-16 16:04:39.197503+00:00,104,356
561,True,2025-09-16 16:04:40.043613+00:00,2025-09-16 16:04:40.043613+00:00,105,357
562,True,2025-09-16 16:04:40.051582+00:00,2025-09-16 16:04:40.051582+00:00,107,357
563,False,2025-09-16 16:04:40.061588+00:00,2025-09-16 16:04:40.061588+00:00,104,357
564,True,2025-09-16 16:04:41.090230+00:00,2025-09-16 16:04:41.090230+00:00,105,358
565,True,2025-09-16 16:04:41.101127+00:00,2025-09-16 16:04:41.101127+00:00,107,358
566,True,2025-09-16 16:04:41.111731+00:00,2025-09-16 16:04:41.111731+00:00,104,358
567,True,2025-09-16 16:04:42.000998+00:00,2025-09-16 16:04:42.000998+00:00,105,359
568,True,2025-09-16 16:04:42.025190+00:00,2025-09-16 16:04:42.025190+00:00,107,359
569,False,2025-09-16 16:04:42.031194+00:00,2025-09-16 16:04:42.031194+00:00,104,359
570,True,2025-09-16 16:04:43.084930+00:00,2025-09-16 16:04:43.084930+00:00,105,360
571,True,2025-09-16 16:04:43.102390+00:00,2025-09-16 16:04:43.102390+00:00,107,360
572,True,2025-09-16 16:04:43.111121+00:00,2025-09-16 16:04:43.111121+00:00,104,360
573,True,2025-09-16 16:04:43.981260+00:00,2025-09-16 16:04:43.981260+00:00,105,361
574,True,2025-09-16 16:04:43.991213+00:00,2025-09-16 16:04:43.991213+00:00,107,361
575,True,2025-09-16 16:04:44.000597+00:00,2025-09-16 16:04:44.000597+00:00,104,361
576,True,2025-09-16 16:04:44.851675+00:00,2025-09-16 16:04:44.851675+00:00,105,362
577,True,2025-09-16 16:04:44.869379+00:00,2025-09-16 16:04:44.869379+00:00,107,362
578,False,2025-09-16 16:04:44.876516+00:00,2025-09-16 16:04:44.876516+00:00,104,362
579,True,2025-09-16 16:04:45.802787+00:00,2025-09-16 16:04:45.802787+00:00,105,363
580,True,2025-09-16 16:04:45.820777+00:00,2025-09-16 16:04:45.820777+00:00,107,363
581,False,2025-09-16 16:04:45.830541+00:00,2025-09-16 16:04:45.830541+00:00,104,363
582,True,2025-09-16 16:04:46.966859+00:00,2025-09-16 16:04:46.966859+00:00,105,364
583,True,2025-09-16 16:04:46.976401+00:00,2025-09-16 16:04:46.976401+00:00,107,364
584,True,2025-09-16 16:04:46.983396+00:00,2025-09-16 16:04:46.983396+00:00,104,364
585,True,2025-09-16 16:04:48.272554+00:00,2025-09-16 16:04:48.272554+00:00,105,365
586,True,2025-09-16 16:04:48.275163+00:00,2025-09-16 16:04:48.275163+00:00,107,365
587,False,2025-09-16 16:04:48.313373+00:00,2025-09-16 16:04:48.313373+00:00,104,365
588,True,2025-09-16 16:04:49.318268+00:00,2025-09-16 16:04:49.318268+00:00,105,366
589,True,2025-09-16 16:04:49.327266+00:00,2025-09-16 16:04:49.327266+00:00,107,366
590,True,2025-09-16 16:04:49.330310+00:00,2025-09-16 16:04:49.330310+00:00,104,366
591,True,2025-09-16 16:04:50.236266+00:00,2025-09-16 16:04:50.236266+00:00,105,367
592,True,2025-09-16 16:04:50.242873+00:00,2025-09-16 16:04:50.243867+00:00,107,367
