id,texto,idioma,sinonimos
102,apartamento,es,"[""apto"", ""depto""]"
103,constituyente,es,[]
104,patio,es,[]
105,penthouse,es,"[""ph"", ""atico""]"
106,luminoso,es,[]
107,atico,es,[]
108,piscina,es,[]
