id,nombre,descripcion,url,created_at,updated_at
1,MercadoLibre,,https://www.mercadolibre.com.uy,2025-09-03 11:27:20.381322+00:00,2025-09-03 11:27:20.381322+00:00
2,InfoCasas,Portal inmobiliario uruguayo con amplia variedad de propiedades,https://www.infocasas.com.uy,2025-09-16 14:43:50.457076+00:00,2025-09-16 14:43:50.457076+00:00
