id,texto,idioma,sinonimos
16,constituyente,es,[]
17,patio,es,[]
18,luminoso,es,[]
19,dormitorios,es,[]
20,banos,es,[]
21,apartamento,es,"[""apto"", ""depto"", ""departamento""]"
22,malvin,es,"[""malvin""]"
23,frente,es,"[""facing"", ""front""]"
24,mar,es,[]
25,penthouse exclusivo,es,[]
26,penthouse,es,"[""ph"", ""atico""]"
27,exclusivo,es,[]
28,carrasco,es,"[""carrasco""]"
29,penthouse excelente,es,[]
30,excelente,es,[]
