id,busqueda_id,palabra_clave_id
35,c9eb2f34-fada-4963-9099-1f224c4d8236,16
36,abf990dd-a59b-441c-b7ba-a9bafd094e3d,17
37,9fa7f803-ab2d-433d-91f7-0bb7e1d097d0,17
38,1d05f7ce-9328-4b0e-8ba4-796fca2103ed,17
39,524cce51-7495-4355-9071-9ea101b069d7,18
40,ffda11b1-4f9c-43c1-9809-d85d21abd5fd,16
41,8db6aef5-8881-4311-9bbe-d57573d1ea2f,16
48,57f10aa9-c274-4c29-8c0c-3f8d71174397,16
49,71c8e548-2b01-462f-bba9-3252b60aea18,16
50,8de793b3-5b8f-4d5e-a1d4-1b2860906bab,16
51,bcbcd219-d957-40c4-9a03-c217b4a7f29e,16
