id,coincide,created_at,busqueda_id,propiedad_id,metadata,last_seen_at,seen_count
1170,True,2025-09-12 18:36:51.374679+00:00,d979e16c-3067-4631-9f5d-1d1f807914d6,239,"{""url"": ""https://apartamento.mercadolibre.com.uy/MLU-753430228-cordon-venta-apartamento-1-dormitorio-amenities-_JM"", ""precio"": ""Precio no disponible"", ""titulo"": ""Cordon Venta Apartamento 1 Dormitorio Amenities""}",2025-09-12 18:36:51.367676+00:00,1
1171,True,2025-09-12 18:36:51.395099+00:00,d979e16c-3067-4631-9f5d-1d1f807914d6,240,"{""url"": ""https://apartamento.mercadolibre.com.uy/MLU-735850958-apartamentos-en-venta-met-tech-constituyente-y-magallanes-diciembre-2025-_JM"", ""precio"": ""Precio no disponible"", ""titulo"": ""Apartamentos En Venta Met Tech, Constituyente Y Magallanes, Diciembre 2025""}",2025-09-12 18:36:51.395099+00:00,1
1172,True,2025-09-12 18:37:47.171882+00:00,16036f63-0128-4677-9f4a-cec44e699bf6,239,"{""url"": ""https://apartamento.mercadolibre.com.uy/MLU-753430228-cordon-venta-apartamento-1-dormitorio-amenities-_JM"", ""precio"": ""Precio no disponible"", ""titulo"": ""Cordon Venta Apartamento 1 Dormitorio Amenities""}",2025-09-12 18:37:47.163902+00:00,1
1173,True,2025-09-12 18:37:47.191540+00:00,16036f63-0128-4677-9f4a-cec44e699bf6,240,"{""url"": ""https://apartamento.mercadolibre.com.uy/MLU-735850958-apartamentos-en-venta-met-tech-constituyente-y-magallanes-diciembre-2025-_JM"", ""precio"": ""Precio no disponible"", ""titulo"": ""Apartamentos En Venta Met Tech, Constituyente Y Magallanes, Diciembre 2025""}",2025-09-12 18:37:47.191540+00:00,1
1174,True,2025-09-12 18:38:47.051297+00:00,74d75d06-e18c-49f1-8419-b343d84777fb,248,"{""url"": ""https://apartamento.mercadolibre.com.uy/MLU-706576382-venta-de-apartamento-de-3-dormitorios-en-carrasco-brits-ref-srs-10216-_JM"", ""precio"": ""Precio no disponible"", ""titulo"": ""Venta De Apartamento De 3 Dormitorios En Carrasco, Brits (ref: Srs-10216)""}",2025-09-12 18:38:47.043277+00:00,1
1175,True,2025-09-12 18:38:47.084441+00:00,74d75d06-e18c-49f1-8419-b343d84777fb,245,"{""url"": ""https://apartamento.mercadolibre.com.uy/MLU-706193904-venta-de-apartamento-de-3-dormitorios-en-carrasco-brits-ref-srs-10224-_JM"", ""precio"": ""Precio no disponible"", ""titulo"": ""Venta De Apartamento De 3 Dormitorios En Carrasco, Brits (ref: Srs-10224)""}",2025-09-12 18:38:47.061817+00:00,1
1176,True,2025-09-12 18:38:47.125389+00:00,74d75d06-e18c-49f1-8419-b343d84777fb,244,"{""url"": ""https://apartamento.mercadolibre.com.uy/MLU-727147082-duplex-de-3-dormitorios-en-carrasco-boating-en-construccion-id-6084-_JM"", ""precio"": ""Precio no disponible"", ""titulo"": ""Dúplex De 3 Dormitorios En Carrasco Boating En Construcción Id 6084""}",2025-09-12 18:38:47.111870+00:00,1
1177,True,2025-09-12 18:38:47.144570+00:00,74d75d06-e18c-49f1-8419-b343d84777fb,243,"{""url"": ""https://apartamento.mercadolibre.com.uy/MLU-728443568-venta-de-apartamento-de-3-dormitorios-en-carrasco-brits-ref-srs-10203-_JM"", ""precio"": ""Precio no disponible"", ""titulo"": ""Venta De Apartamento De 3 Dormitorios En Carrasco, Brits (ref: Srs-10203)""}",2025-09-12 18:38:47.132170+00:00,1
1178,True,2025-09-12 18:38:47.178528+00:00,74d75d06-e18c-49f1-8419-b343d84777fb,242,"{""url"": ""https://apartamento.mercadolibre.com.uy/MLU-706167822-venta-de-apartamento-de-3-dormitorios-en-carrasco-brits-ref-srs-10214-_JM"", ""precio"": ""Precio no disponible"", ""titulo"": ""Venta De Apartamento De 3 Dormitorios En Carrasco, Brits (ref: Srs-10214)""}",2025-09-12 18:38:47.165037+00:00,1
1179,True,2025-09-12 18:39:47.951178+00:00,9f62c723-dae5-49f0-a3fa-abcc84408c6e,248,"{""url"": ""https://apartamento.mercadolibre.com.uy/MLU-706576382-venta-de-apartamento-de-3-dormitorios-en-carrasco-brits-ref-srs-10216-_JM"", ""precio"": ""Precio no disponible"", ""titulo"": ""Venta De Apartamento De 3 Dormitorios En Carrasco, Brits (ref: Srs-10216)""}",2025-09-12 18:39:47.935187+00:00,1
